sample,division,contrast_adjustment,mean_rank,std_rank,kurtosis_rank,variation coefficient_rank
RJS749D_T012329H_LIMPA_P_58500nm,2,True,55.17730496453901,38.297872340425535,14.265450861195541,57.14285714285714
RJS749D_T012329H_LIMPA_P_58500nm,3,True,82.28976697061803,72.58358662613982,33.86018237082067,87.98378926038501
RJS749D_T012329H_LIMPA_P_58500nm,4,True,86.46403242147923,82.16818642350557,33.596757852077005,93.7791286727457
RJS749D_T012329H_LIMPA_P_58500nm,5,True,86.95035460992908,80.74974670719351,35.48125633232016,92.84701114488348
RJS749D_T012329H_LIMPA_P_58500nm,6,True,88.75379939209726,82.99898682877405,33.394123606889565,94.97467071935158
RJS749D_T012329H_LIMPA_P_58500nm,7,True,88.87537993920974,85.1063829787234,42.836879432624116,94.79229989868287
RJS749D_T012329H_LIMPA_P_58500nm,8,True,90.88145896656535,88.93617021276596,38.64235055724418,95.96757852077002
RJS749D_T012329H_LIMPA_P_58500nm,9,True,91.67173252279636,87.72036474164133,38.297872340425535,95.48125633232016
RJS749D_T012329H_LIMPA_P_58500nm,10,True,92.2998986828774,90.0709219858156,56.75785207700101,96.12968591691995
